start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
23.81211,0.30209,1.000,-32.698,0.01922,-12.423,[0.011 0.032 1.000 0.031 0.011 0.009 0.027 0.008 0.016 0.137 0.008 0.005],[41.024 0.500 0.381 82.412 85.539 -29.814 -52.522 16.211 24.699 -10.749 -4.873 -6.322]}
24.11420,0.14413,0.343,-30.229,0.01391,-24.624,[0.009 0.042 1.000 0.060 0.012 0.006 0.028 0.010 0.024 0.556 0.065 0.005],[31.487 -37.840 31.031 28.948 81.698 -64.851 -25.881 -2.803 -5.536 -13.739 11.067 4.051]}
24.25832,0.43605,1.000,-32.423,0.01431,-14.822,[0.009 0.037 0.037 0.008 0.012 0.045 1.000 0.029 0.013 0.041 0.014 0.008],[38.519 -33.975 -50.609 67.267 46.128 -53.127 -67.994 3.068 8.483 -25.780 -20.345 -1.300]}
24.69438,0.30218,1.000,-34.883,0.01581,-12.100,[0.007 0.026 0.071 0.011 0.018 0.013 0.147 0.015 0.026 1.000 0.018 0.008],[41.857 39.928 68.126 99.839 115.570 -55.191 -31.562 14.374 2.177 -20.809 -4.683 20.382]}
24.99655,0.13873,0.013,-27.025,0.01172,-24.275,[0.013 0.067 0.103 0.021 0.047 0.099 1.000 0.164 0.043 0.892 0.058 0.011],[32.993 36.672 58.916 16.114 45.995 -52.458 -31.875 4.613 -22.204 -25.976 -1.157 -3.567]}
25.13528,0.29646,1.000,-31.447,0.01218,-13.722,[0.007 0.010 0.010 0.007 0.035 0.007 0.022 0.011 0.024 1.000 0.027 0.009],[40.223 -20.674 -37.405 59.404 62.357 -53.654 -77.027 14.173 11.512 -23.658 -22.086 -8.494]}
25.43175,0.13914,0.231,-30.439,0.00814,-26.125,[0.019 0.039 0.020 0.010 0.135 0.012 0.065 0.029 0.095 1.000 0.102 0.020],[30.684 -15.576 49.153 16.667 54.164 -60.077 -22.957 -2.846 -0.921 -11.320 -4.278 -0.489]}
25.57088,0.42277,1.000,-32.709,0.01758,-12.788,[0.026 0.058 1.000 0.035 0.020 0.017 0.051 0.023 0.033 0.126 0.018 0.016],[40.956 -11.579 12.395 88.125 79.796 -46.327 -40.574 2.769 19.486 -23.030 -11.061 -1.593]}
25.99365,0.44925,1.000,-31.450,0.03024,-15.883,[0.014 0.048 0.045 0.011 0.015 0.048 1.000 0.031 0.019 0.045 0.018 0.010],[36.994 -29.897 -53.171 49.387 55.783 18.866 -60.857 14.047 9.693 3.531 20.013 -3.019]}
26.44290,0.26014,1.000,-34.258,0.01235,-10.742,[0.009 0.025 0.040 0.013 0.021 0.021 0.259 0.025 0.028 1.000 0.018 0.010],[42.849 34.937 44.090 98.063 105.618 -65.349 -23.778 19.887 11.496 -11.143 -18.572 23.406]}
26.70304,0.17433,0.329,-28.476,0.04847,-24.267,[0.047 0.085 0.171 0.037 0.080 0.119 1.000 0.162 0.070 0.786 0.071 0.052],[32.779 32.850 83.290 20.195 53.262 -23.051 -12.435 32.423 -28.900 -3.736 -10.553 -2.611]}
26.87737,0.28454,1.000,-31.385,0.01301,-13.620,[0.006 0.014 0.015 0.006 0.036 0.013 0.045 0.014 0.033 1.000 0.029 0.010],[40.544 -22.057 -35.283 50.820 61.465 -51.794 -70.505 9.287 16.926 -25.048 -15.474 -8.291]}
27.16190,0.14472,0.365,-30.129,0.02077,-25.538,[0.007 0.015 0.012 0.006 0.068 0.012 0.037 0.015 0.097 1.000 0.133 0.008],[31.951 -45.185 11.356 4.128 60.635 -42.432 -12.785 19.573 20.514 -11.070 8.677 8.618]}
27.30662,0.43578,1.000,-31.481,0.01760,-13.179,[0.031 0.062 1.000 0.034 0.018 0.019 0.049 0.018 0.032 0.173 0.024 0.021],[39.922 -4.252 0.214 92.687 78.864 -46.218 -52.961 12.089 26.960 -20.026 -9.575 -4.435]}
27.74240,0.42898,1.000,-32.649,0.01276,-14.513,[0.009 0.039 0.031 0.010 0.016 0.047 1.000 0.033 0.011 0.049 0.014 0.008],[38.905 -39.693 -42.313 70.863 43.091 -56.251 -66.312 0.323 0.227 -31.014 -19.069 0.756]}
28.17138,0.27832,1.000,-34.465,0.01606,-12.021,[0.009 0.028 0.043 0.010 0.017 0.015 0.125 0.015 0.026 1.000 0.019 0.009],[42.257 35.999 62.568 101.801 120.083 -56.201 -30.995 17.422 7.902 -26.960 -12.264 24.445]}
28.44971,0.15224,0.485,-27.969,0.02414,-23.336,[0.006 0.040 0.023 0.008 0.034 0.053 0.532 0.066 0.030 1.000 0.032 0.007],[34.224 -1.168 84.235 35.241 76.763 -32.848 -6.047 12.083 -11.321 -7.114 4.309 1.993]}
28.60195,0.27773,1.000,-29.893,0.01236,-13.484,[0.004 0.013 0.018 0.010 0.044 0.019 0.025 0.009 0.029 1.000 0.028 0.007],[40.629 -16.394 -48.126 48.538 55.157 -49.567 -77.113 8.431 23.781 -19.517 -19.674 -7.788]}
28.87968,0.14014,0.513,-30.710,0.02557,-23.676,[0.011 0.029 0.016 0.007 0.067 0.014 0.051 0.026 0.072 1.000 0.096 0.020],[31.776 -26.578 -1.337 22.405 55.489 -35.158 -45.899 8.182 12.999 -9.709 18.868 -8.045]}
29.01982,0.43478,1.000,-32.239,0.02271,-13.429,[0.025 0.055 1.000 0.042 0.026 0.020 0.053 0.025 0.036 0.171 0.019 0.015],[39.209 -0.095 7.641 87.573 85.534 -4.154 -39.185 19.561 15.207 0.285 21.872 -4.696]}
29.45460,0.42299,1.000,-32.445,0.02022,-14.640,[0.015 0.023 0.056 0.015 0.054 0.015 0.018 0.023 0.051 1.000 0.031 0.012],[39.390 -33.322 -41.890 63.705 62.721 -46.215 -67.304 2.159 21.675 -30.922 -11.449 -8.387]}
